shot,source_zip,n_bins,mev_per_bin,rank,pred_bin,energy_lo_mev,energy_hi_mev,confidence
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,1,0,0.0,5.0,0.999355
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,2,4,20.0,25.0,0.000453
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,3,5,25.0,30.0,6.8e-05
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,1,0,0.0,2.5,0.999999
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,2,12,30.0,32.5,1e-06
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,3,5,12.5,15.0,0.0
Shot_011335_gain16.04,TPW_2017.zip,50,1.0,1,1,1.0,2.0,0.999949
Shot_011335_gain16.04,TPW_2017.zip,50,1.0,2,0,0.0,1.0,4.4e-05
Shot_011335_gain16.04,TPW_2017.zip,50,1.0,3,24,24.0,25.0,7e-06
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,0.715464
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,2,2,1.0,1.5,0.284536
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,3,42,21.0,21.5,0.0
Shot_011335_gain16.04,TPW_2017.zip,200,0.25,1,4,1.0,1.25,1.0
Shot_011335_gain16.04,TPW_2017.zip,200,0.25,2,5,1.25,1.5,0.0
Shot_011335_gain16.04,TPW_2017.zip,200,0.25,3,3,0.75,1.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,1,7,17.5,20.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.0
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011337__gain16.04,TPW_2017.zip,50,1.0,1,39,39.0,40.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,50,1.0,2,0,0.0,1.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011337__gain16.04,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.99982
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.00018
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011339_gain16.04,TPW_2017.zip,50,1.0,1,0,0.0,1.0,0.979244
Shot_011339_gain16.04,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.020756
Shot_011339_gain16.04,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011339_gain16.04,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,3,8,40.0,45.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,1,7,17.5,20.0,1.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011341_gain16.04,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011341_gain16.04,TPW_2017.zip,50,1.0,2,49,49.0,50.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,50,1.0,3,47,47.0,48.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011341_gain16.04,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011341_gain16.04,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999848
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.000152
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011343_gain8.05,TPW_2017.zip,50,1.0,1,39,39.0,40.0,1.0
Shot_011343_gain8.05,TPW_2017.zip,50,1.0,2,0,0.0,1.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011343_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.937566
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.062434
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011345_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011345_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011345_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.992468
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.007532
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011347_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011347_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011347_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011347_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011349_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011349_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999817
Shot_011349_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.000183
Shot_011349_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011349_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011349_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011349_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011349_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011351_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011351_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999965
Shot_011351_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,3.5e-05
Shot_011351_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011351_gain8.05,TPW_2017.zip,50,1.0,1,39,39.0,40.0,0.999999
Shot_011351_gain8.05,TPW_2017.zip,50,1.0,2,0,0.0,1.0,1e-06
Shot_011351_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011351_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011351_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011353_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011353_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999554
Shot_011353_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.000446
Shot_011353_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011353_gain8.05,TPW_2017.zip,50,1.0,1,39,39.0,40.0,0.811169
Shot_011353_gain8.05,TPW_2017.zip,50,1.0,2,0,0.0,1.0,0.188831
Shot_011353_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011353_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011353_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011355_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011355_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.99944
Shot_011355_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.00056
Shot_011355_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011355_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,0.999999
Shot_011355_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,1e-06
Shot_011355_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011355_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011355_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011357_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011357_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999502
Shot_011357_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.000498
Shot_011357_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011357_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011357_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011357_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011357_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011359_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011359_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999728
Shot_011359_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.000272
Shot_011359_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011359_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,0.856704
Shot_011359_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.143296
Shot_011359_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011359_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011359_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011361_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011361_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.971907
Shot_011361_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.028093
Shot_011361_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011361_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011361_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011361_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011361_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
shot_011635,tpw18sas.zip,10,5.0,1,0,0.0,5.0,0.978373
shot_011635,tpw18sas.zip,10,5.0,2,3,15.0,20.0,0.01196
shot_011635,tpw18sas.zip,10,5.0,3,4,20.0,25.0,0.008004
shot_011635,tpw18sas.zip,20,2.5,1,6,15.0,17.5,0.410893
shot_011635,tpw18sas.zip,20,2.5,2,5,12.5,15.0,0.323152
shot_011635,tpw18sas.zip,20,2.5,3,0,0.0,2.5,0.265954
shot_011635,tpw18sas.zip,50,1.0,1,39,39.0,40.0,1.0
shot_011635,tpw18sas.zip,50,1.0,2,0,0.0,1.0,0.0
shot_011635,tpw18sas.zip,50,1.0,3,48,48.0,49.0,0.0
shot_011635,tpw18sas.zip,100,0.5,1,27,13.5,14.0,1.0
shot_011635,tpw18sas.zip,100,0.5,2,1,0.5,1.0,0.0
shot_011635,tpw18sas.zip,100,0.5,3,99,49.5,50.0,0.0
shot_011635,tpw18sas.zip,200,0.25,1,42,10.5,10.75,1.0
shot_011635,tpw18sas.zip,200,0.25,2,187,46.75,47.0,0.0
shot_011635,tpw18sas.zip,200,0.25,3,197,49.25,49.5,0.0
shot_011638,tpw18sas.zip,10,5.0,1,0,0.0,5.0,0.931694
shot_011638,tpw18sas.zip,10,5.0,2,3,15.0,20.0,0.047562
shot_011638,tpw18sas.zip,10,5.0,3,4,20.0,25.0,0.017643
shot_011638,tpw18sas.zip,20,2.5,1,5,12.5,15.0,0.636186
shot_011638,tpw18sas.zip,20,2.5,2,6,15.0,17.5,0.358207
shot_011638,tpw18sas.zip,20,2.5,3,0,0.0,2.5,0.005607
shot_011638,tpw18sas.zip,50,1.0,1,39,39.0,40.0,1.0
shot_011638,tpw18sas.zip,50,1.0,2,0,0.0,1.0,0.0
shot_011638,tpw18sas.zip,50,1.0,3,48,48.0,49.0,0.0
shot_011638,tpw18sas.zip,100,0.5,1,27,13.5,14.0,1.0
shot_011638,tpw18sas.zip,100,0.5,2,1,0.5,1.0,0.0
shot_011638,tpw18sas.zip,100,0.5,3,78,39.0,39.5,0.0
shot_011638,tpw18sas.zip,200,0.25,1,42,10.5,10.75,1.0
shot_011638,tpw18sas.zip,200,0.25,2,199,49.75,50.0,0.0
shot_011638,tpw18sas.zip,200,0.25,3,197,49.25,49.5,0.0
14879_sasb,tpw22sas.zip,10,5.0,1,0,0.0,5.0,0.999475
14879_sasb,tpw22sas.zip,10,5.0,2,4,20.0,25.0,0.000362
14879_sasb,tpw22sas.zip,10,5.0,3,5,25.0,30.0,6e-05
14879_sasb,tpw22sas.zip,20,2.5,1,0,0.0,2.5,0.999998
14879_sasb,tpw22sas.zip,20,2.5,2,12,30.0,32.5,2e-06
14879_sasb,tpw22sas.zip,20,2.5,3,5,12.5,15.0,0.0
14879_sasb,tpw22sas.zip,50,1.0,1,1,1.0,2.0,0.999999
14879_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14879_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14879_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14879_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14879_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14879_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999332
14879_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000668
14879_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
14903_sasb,tpw22sas.zip,10,5.0,1,0,0.0,5.0,0.999475
14903_sasb,tpw22sas.zip,10,5.0,2,4,20.0,25.0,0.000361
14903_sasb,tpw22sas.zip,10,5.0,3,5,25.0,30.0,6e-05
14903_sasb,tpw22sas.zip,20,2.5,1,0,0.0,2.5,0.999998
14903_sasb,tpw22sas.zip,20,2.5,2,12,30.0,32.5,2e-06
14903_sasb,tpw22sas.zip,20,2.5,3,5,12.5,15.0,0.0
14903_sasb,tpw22sas.zip,50,1.0,1,1,1.0,2.0,0.999999
14903_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14903_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14903_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14903_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14903_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14903_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999322
14903_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000678
14903_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
14905_sasb,tpw22sas.zip,10,5.0,1,0,0.0,5.0,0.999475
14905_sasb,tpw22sas.zip,10,5.0,2,4,20.0,25.0,0.000362
14905_sasb,tpw22sas.zip,10,5.0,3,5,25.0,30.0,6e-05
14905_sasb,tpw22sas.zip,20,2.5,1,0,0.0,2.5,0.999998
14905_sasb,tpw22sas.zip,20,2.5,2,12,30.0,32.5,2e-06
14905_sasb,tpw22sas.zip,20,2.5,3,5,12.5,15.0,0.0
14905_sasb,tpw22sas.zip,50,1.0,1,1,1.0,2.0,0.999999
14905_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14905_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14905_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14905_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14905_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14905_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999338
14905_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000662
14905_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
14907_sasb,tpw22sas.zip,10,5.0,1,0,0.0,5.0,0.999475
14907_sasb,tpw22sas.zip,10,5.0,2,4,20.0,25.0,0.000362
14907_sasb,tpw22sas.zip,10,5.0,3,5,25.0,30.0,6e-05
14907_sasb,tpw22sas.zip,20,2.5,1,0,0.0,2.5,0.999998
14907_sasb,tpw22sas.zip,20,2.5,2,12,30.0,32.5,2e-06
14907_sasb,tpw22sas.zip,20,2.5,3,5,12.5,15.0,0.0
14907_sasb,tpw22sas.zip,50,1.0,1,1,1.0,2.0,0.999999
14907_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14907_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14907_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14907_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14907_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14907_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999335
14907_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000665
14907_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
14909_sasb,tpw22sas.zip,10,5.0,1,0,0.0,5.0,0.999474
14909_sasb,tpw22sas.zip,10,5.0,2,4,20.0,25.0,0.000362
14909_sasb,tpw22sas.zip,10,5.0,3,5,25.0,30.0,6e-05
14909_sasb,tpw22sas.zip,20,2.5,1,0,0.0,2.5,0.999998
14909_sasb,tpw22sas.zip,20,2.5,2,12,30.0,32.5,2e-06
14909_sasb,tpw22sas.zip,20,2.5,3,5,12.5,15.0,0.0
14909_sasb,tpw22sas.zip,50,1.0,1,1,1.0,2.0,0.999999
14909_sasb,tpw22sas.zip,50,1.0,2,24,24.0,25.0,1e-06
14909_sasb,tpw22sas.zip,50,1.0,3,0,0.0,1.0,0.0
14909_sasb,tpw22sas.zip,100,0.5,1,2,1.0,1.5,1.0
14909_sasb,tpw22sas.zip,100,0.5,2,1,0.5,1.0,0.0
14909_sasb,tpw22sas.zip,100,0.5,3,3,1.5,2.0,0.0
14909_sasb,tpw22sas.zip,200,0.25,1,4,1.0,1.25,0.999392
14909_sasb,tpw22sas.zip,200,0.25,2,5,1.25,1.5,0.000608
14909_sasb,tpw22sas.zip,200,0.25,3,3,0.75,1.0,0.0
